ticker,short name,country,region,size,cum net income,cum dividend amount,cum buyback amount,cum payout amount,cum payout % of net income,avg annual payout % of net income,cum dividend % of cum payouts,cum buyback % of cum payouts,avg annual dividend yield,avg annual buyback yield,avg payout yield,avg annual EPS,avg annual DPS,comments
EBS.VI,Erste,AT,Western Europe,Large (200-500bn),10211400000.0,4091517772.8,605800000.0,4697317772.8,0.4600072245529506,0.4849007925276219,0.8710327831112665,0.1289672168887334,0.0679094679291388,0.0112338804450988,0.0791433483742376,5.09511472452485,2.04,Conservative/Growth-oriented. Hybrid distribution.
ETE.AT,National Bank of Greece,GR,Southern Europe,Medium (50-200bn),4251000000.0,939602390.96627,188000000.0,1127602390.96627,0.2652557965105316,0.1820074977793327,0.8332745642381104,0.1667254357618896,0.0318225482035664,0.0065444061276218,0.0383669543311882,1.162972426611511,0.343153,Conservative/Growth-oriented. Hybrid distribution.
EUROB.AT,Eurobank,GR,Southern Europe,Medium (50-200bn),4263000000.0,899467399.0078201,0.0,899467399.0078201,0.2109939946065728,0.1415295147731883,1.0,0.0,0.0289572955220533,0.0,0.0289572955220533,0.2892459917572696,0.0817133333333333,Conservative/Growth-oriented. Pure dividend strategy.
FBK.MI,FINECOBANK,IT,Southern Europe,Small (<50bn),2070602000.0,1733238817.79,0.0,1733238817.79,0.8370700007968697,0.8889420411615064,1.0,0.0,0.0451990246817997,0.0,0.0451990246817997,0.6784372650300643,0.568,Aggressive payout. Pure dividend strategy.
GLE.PA,Société générale,FR,Western Europe,Huge (>500bn),14159000000.0,4811583680.3,0.0,4811583680.3,0.3398251063140052,0.3710108319773164,1.0,0.0,0.0531999324861893,0.0,0.0531999324861893,4.35609853967275,1.19,Conservative/Growth-oriented. Pure dividend strategy.
INGA.AS,ING,NL,Western Europe,Huge (>500bn),22129000000.0,15651132948.892998,0.0,15651132948.892998,0.7072679718420624,0.6543463594802036,1.0,0.0,0.0887824571176039,0.0,0.0887824571176039,1.630963830167073,0.9224,Conservative/Growth-oriented. Pure dividend strategy. High yield.
ISB.IC,Ãslandsbanki hf.,IS,Northern Europe,Small (<50bn),665164136.5703951,334518176.6983614,95748616.21088398,430266792.9092454,0.6468580749523163,0.619738819948287,0.7774668698844257,0.2225331301155743,0.0492445075391412,0.0139679340842634,0.0632124416234046,0.0845171111193228,0.0425069874499917,Conservative/Growth-oriented. Hybrid distribution.
ISP.MI,Intesa,IT,Southern Europe,Huge (>500bn),24954000000.0,22743000446.2374,6101000000.0,28844000446.2374,1.1558868496528572,1.078772269028287,0.7884828766602014,0.2115171233397985,0.1135564222887769,0.0337536863915316,0.1473101086803086,0.3392882823925034,0.2474999999999999,Aggressive payout. Hybrid distribution. High yield.
JYSK.CO,Jyske,DK,Northern Europe,Medium (50-200bn),2429403494.677646,264542732.05607104,1707304010.176073,1971846742.232144,0.8116588070084197,0.7723615674589168,0.1341598849394384,0.8658401150605616,0.0126366871116973,0.0987905672134851,0.1114272543251825,9.488776011923193,2.127431685209731,Aggressive payout. Heavy buyback focus. High yield.
KBC.BR,KBC,BE,Western Europe,Large (200-500bn),12249000000.0,10111191946.9,1300000000.0,11411191946.9,0.9316019223528452,0.9320426235910478,0.8860767563941326,0.1139232436058673,0.0959067896066278,0.0110841582889,0.1069909478955279,7.491202148505636,4.92,Aggressive payout. Hybrid distribution. High yield.
MB.MI,Mediobanca,IT,Southern Europe,Medium (50-200bn),4013921000.0,3755390220.27,0.0,3755390220.27,0.935591462878816,0.8100203211115269,1.0,0.0,0.0966427199693159,0.0,0.0966427199693159,1.1945724684175762,0.8960000000000001,Aggressive payout. Pure dividend strategy. High yield.
NDA-FI.HE,Nordea,FI,Northern Europe,Huge (>500bn),17413000000.0,14974227361.77,3977000000.0,18951227361.77,1.088337871806696,1.1628531562758826,0.7901455180669334,0.2098544819330666,0.1047364391394587,0.029788340335971,0.1345247794754298,0.9624660356739352,0.8140000000000001,Aggressive payout. Hybrid distribution. High yield.
NLBL.XC,Nova Ljubljanska Banka,SI,CEE,Small (<50bn),1748518000.0,143480000.0,19042000.0,162522000.0,0.0929484283261596,0.0775304093027643,0.8828343239684473,0.1171656760315526,0.0998059810612686,0.0197841798461216,0.1195901609073902,21.856475,1.4348,Conservative/Growth-oriented. Hybrid distribution. High yield.
OTP.BD,OTP,HU,CEE,Medium (50-200bn),7493558849.938612,1580069670.0647388,1271276999.557588,2851346669.622327,0.3805063424097464,0.4297620227198685,0.554148566674997,0.4458514333250029,0.0332862247564293,0.0249358599811853,0.0582220847376146,5.623433077951879,1.185738733835389,Conservative/Growth-oriented. Heavy buyback focus.
PBBD.XC,Deutsche Pfandbriefbank,DE,Western Europe,Small (<50bn),598000000.0,477387343.4,0.0,477387343.4,0.7983065943143812,0.6160067764960203,1.0,0.0,0.1069095649200452,0.0,0.1069095649200452,0.8893826069541332,0.8875,Conservative/Growth-oriented. Pure dividend strategy. High yield.
PEO.WA,Polska Kasa Opieki,PL,CEE,Medium (50-200bn),4027279410.71505,3151123289.5480223,0.0,3151123289.5480223,0.7824446650421345,0.8113823127000865,1.0,0.0,0.1094308562592074,0.0,0.1094308562592074,3.068753677774165,2.401129943502825,Conservative/Growth-oriented. Pure dividend strategy. High yield.
PKO.WA,Powszechna Kasa Oszczednosci,PL,CEE,Medium (50-200bn),5470300209.847111,3323013563.1265574,0.0,3323013563.1265574,0.6074645697040149,0.332166149620238,1.0,0.0,0.0475338093897082,0.0,0.0475338093897082,1.0940600419694222,0.6646027126253116,Conservative/Growth-oriented. Pure dividend strategy.
RBI.VI,Raiffeisen,AT,Western Europe,Large (200-500bn),8542000000.0,1658778524.15,671000000.0,2329778524.15,0.2727439152598923,0.3675273333614297,0.711989790855846,0.2880102091441541,0.0701707435541322,0.0220882420894546,0.0922589856435868,6.501955643225564,1.6833333333333331,Conservative/Growth-oriented. Hybrid distribution. High yield.
SAB.MC,Sabadell,ES,Southern Europe,Large (200-500bn),4578616000.0,2576652079.81,540820000.0,3117472079.81,0.6808765093665858,0.4760355879445354,0.8265196973206056,0.1734803026793944,0.0777825648866733,0.0244506112034454,0.1022331760901187,0.2095865638859966,0.09488,Conservative/Growth-oriented. Hybrid distribution. High yield.
SAN.MC,Santander,ES,Southern Europe,Huge (>500bn),41379000000.0,11400192521.206202,11593000000.0,22993192521.2062,0.5556729868098842,0.4996818575176001,0.4958072921231801,0.50419270787682,0.0419954469213307,0.0453038718817426,0.0872993188030733,0.6439795798220334,0.14376,Conservative/Growth-oriented. Heavy buyback focus. High yield.
SEB-A.ST,Skandinaviska,SE,Northern Europe,Large (200-500bn),11946504152.10576,7849287189.208101,1860737483.610109,9710024672.81821,0.812792139791511,0.813854938598711,0.8083694381519987,0.1916305618480013,0.0769144260664116,0.0172239461531454,0.094138372219557,1.1474567336353725,0.752650804023707,Aggressive payout. Hybrid distribution. High yield.
SHB-A.ST,Svenska Handelsbanken,SE,Northern Europe,Large (200-500bn),9248439530.998417,7666382880.546667,0.0,7666382880.546667,0.8289379905497465,0.7995978873012586,1.0,0.0,0.1054994268658071,0.0,0.1054994268658071,0.9341723676223436,0.7743709652439645,Aggressive payout. Pure dividend strategy. High yield.
SWED-A.ST,Swedbank,SE,Northern Europe,Large (200-500bn),10522925035.050243,6913871276.149185,0.0,6913871276.149185,0.6570294146466067,0.6760231570955866,1.0,0.0,0.0877515750130158,0.0,0.0877515750130158,1.872413074292662,1.230494350869373,Conservative/Growth-oriented. Pure dividend strategy. High yield.
TLV.RO,Banca Transilvania,RO,CEE,Small (<50bn),2322724979.535269,1101965318.3348691,104505185.38003546,1206470503.7149043,0.5194202991506534,0.4647797438335051,0.9133794112178888,0.0866205887821113,0.0694193923533314,0.0062224972099585,0.0756418895632899,0.5252189230558857,0.2471803669998508,Conservative/Growth-oriented. Pure dividend strategy.
TPEIR.AT,Piraeus,GR,Southern Europe,Medium (50-200bn),-209000000.0,451474283.744116,631000000.0,1082474283.744116,0.0,0.1599536302851368,0.4170762211389763,0.5829237788610235,0.0219341128791741,0.0245219800759127,0.0464560929550868,-0.0414551019979477,0.1809145,Conservative/Growth-oriented. Heavy buyback focus.
UBSG.SW,UBS,CH,Western Europe,Medium (50-200bn),51243963435.66747,7252831278.284127,10075672645.73991,17328503924.024036,0.3381569801051499,0.5253678108913904,0.4185491898252616,0.5814508101747384,0.0233259093663528,0.0409387528123819,0.0642646621787347,3.1861402560376497,0.4515662870993805,Conservative/Growth-oriented. Heavy buyback focus.
UCG.MI,UNICREDIT,IT,Southern Europe,Huge (>500bn),27780000000.0,12093347816.5053,0.0,12093347816.5053,0.4353256953385637,0.3923073098554073,1.0,0.0,0.075415161078602,0.0,0.075415161078602,4.035158729056287,1.43176,Conservative/Growth-oriented. Pure dividend strategy.
UNIE.XC,Unicaja,ES,Southern Europe,Medium (50-200bn),2230815000.0,845927669.676026,149238000.0,995165669.676026,0.4460995957423748,0.4754716677020059,0.8500370294640649,0.1499629705359351,0.066760180864082,0.011607669238689,0.078367850102771,0.2120707951585343,0.0650362,Conservative/Growth-oriented. Hybrid distribution.
VPBN.SW,VP Bank,LI,Western Europe,,165444608.5353628,125746809.58793429,94861.31921911889,125841670.9071534,0.7606272094400434,0.8512322653495712,0.9992461851584196,0.0007538148415806,0.0473203541762396,3.472252959493657e-05,0.0473550767058345,5.39370048163928,4.093724750875303,Conservative/Growth-oriented. Pure dividend strategy.
